��textbox24,textbox19,textbox5,DISTANCE_KONTROLA_0_1,DISTANCE_KONTROLA_NOT_0_1,OBISK_2,textbox4,textbox15,textbox18,textbox23,textbox25,OBISK_1,NAPRAVA,IME_VOZNIKA,TIME_RECEIVED_MIN,TIME_RECEIVED_MAX,StopTime,NASLOV,DISTANCE_KONTROLA_0,DISTANCE_KONTROLA_NOT_0,OBISK
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 04:07:53,17.10.2018 04:16:36,,R.B. AUTO: Rijeka: (RN),,,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 04:07:53,17.10.2018 04:16:36,,R.B. AUTO: Rijeka: RN,,,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 04:18:48,17.10.2018 04:30:16,0:11:28,"HRVATSKA: RIJEKA, ULICA GORNJA VE}ICA",0,1.316,1
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 04:18:48,17.10.2018 04:30:16,,R.B. AUTO: Rijeka: (RN),,,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 04:18:48,17.10.2018 04:30:16,,R.B. AUTO: Rijeka: RN,,,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 04:18:48,17.10.2018 04:30:16,,AUTONIPPON: Rijeka: (Ty),,,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 04:18:48,17.10.2018 04:30:16,,AUTONIPPON: Rijeka: Ty,,,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 04:55:52,17.10.2018 04:59:14,0:03:22,"HRVATSKA: SELCE, STUDENI",0,31.984,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 05:13:38,17.10.2018 05:14:18,0:00:40,"HRVATSKA: KRALJEVICA, D102",0,17.699,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 05:36:25,17.10.2018 05:40:07,0:03:42,"HRVATSKA: KRK, ULICA ZAGREBAKA",0,27.241,1
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 05:36:25,17.10.2018 05:40:07,,AUTO Krk: Krk: (RN),,,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 05:36:25,17.10.2018 05:40:07,,AUTO Krk: Krk: RN,,,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 06:41:11,17.10.2018 06:43:53,0:02:42,"HRVATSKA: DELNICE, LUJZINSKA CESTA",0,67.163,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 07:56:14,17.10.2018 07:59:10,0:02:56,"HRVATSKA: KARLOVAC, SENJSKA",0,80.73,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 08:00:32,17.10.2018 08:03:10,0:02:38,"HRVATSKA: KARLOVAC, PRILAZ VEESLAVA HOLJEVCA",0,1.45,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 08:04:59,17.10.2018 08:08:11,0:03:12,"HRVATSKA: KARLOVAC, BANIJA",0,3.198,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 08:11:35,17.10.2018 08:17:24,0:05:49,"HRVATSKA: KARLOVAC, ZAGREBAKA",0,3.559,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 08:33:38,17.10.2018 08:34:11,0:00:33,"HRVATSKA: JASTREBARSKO, FRANJE TUMANA",0,16.732,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 08:59:08,17.10.2018 08:59:40,0:00:32,"HRVATSKA: DONJI STUPNIK, GOSPODARSKA ULICA",0,23.18,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 09:00:55,17.10.2018 09:00:55,0:00:00,"HRVATSKA: HRVATSKI LESKOVAC, VENTILATORSKA CESTA",0,825,
